terms |         sin |         cos |         tan 
------+-------------+-------------+-------------
    1 |   0.0000000 |   1.0000000 |   0.0000000
    2 |   3.1415000 |   1.0000000 |   3.1415000
    3 |   3.1415000 |  -3.9345111 |  -0.7984474
    4 |  -2.0257556 |  -3.9345111 |   0.5148684
    5 |  -2.0257556 |   0.1237222 | -16.3734181
    6 |   0.5240324 |   0.1237222 |   4.2355566
    7 |   0.5240324 |  -1.2113043 |  -0.4326183
    8 |  -0.0751084 |  -1.2113043 |   0.0620062
    9 |  -0.0751084 |  -0.9760292 |   0.0769530
   10 |   0.0070157 |  -0.9760292 |  -0.0071880
   11 |   0.0070157 |  -1.0018285 |  -0.0070029
   12 |  -0.0003523 |  -1.0018285 |   0.0003517
   13 |  -0.0003523 |  -0.9998996 |   0.0003524
   14 |   0.0001138 |  -0.9998996 |  -0.0001138
   15 |   0.0001138 |  -1.0000042 |  -0.0001138
   16 |   0.0000919 |  -1.0000042 |  -0.0000919
   17 |   0.0000919 |  -0.9999999 |  -0.0000919
   18 |   0.0000927 |  -0.9999999 |  -0.0000927
